StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.160000,0.250000,0.050000,1.750000,571.428571,"0120.png"
0.160000,0.250000,0.100000,1.790000,558.659218,"0121.png"
0.160000,0.250000,0.150000,1.820000,549.450549,"0122.png"
0.160000,0.250000,0.200000,1.860000,537.634409,"0123.png"
0.160000,0.250000,0.250000,1.910000,523.560209,"0124.png"
0.160000,0.500000,0.050000,1.420000,704.225352,"0125.png"
0.160000,0.500000,0.100000,1.520000,657.894737,"0126.png"
0.160000,0.500000,0.150000,1.510000,662.251656,"0127.png"
0.160000,0.500000,0.200000,1.580000,632.911392,"0128.png"
0.160000,0.500000,0.250000,1.680000,595.238095,"0129.png"
0.160000,0.750000,0.050000,1.300000,769.230769,"0130.png"
0.160000,0.750000,0.100000,1.380000,724.637681,"0131.png"
0.160000,0.750000,0.150000,1.470000,680.272109,"0132.png"
0.160000,0.750000,0.200000,1.500000,666.666667,"0133.png"
0.160000,0.750000,0.250000,1.590000,628.930818,"0134.png"
0.160000,1.000000,0.050000,1.260000,793.650794,"0135.png"
0.160000,1.000000,0.100000,1.320000,757.575758,"0136.png"
0.160000,1.000000,0.150000,1.410000,709.219858,"0137.png"
0.160000,1.000000,0.200000,1.480000,675.675676,"0138.png"
0.160000,1.000000,0.250000,1.500000,666.666667,"0139.png"
0.160000,1.250000,0.050000,1.230000,813.008130,"0140.png"
0.160000,1.250000,0.100000,1.300000,769.230769,"0141.png"
0.160000,1.250000,0.150000,1.350000,740.740741,"0142.png"
0.160000,1.250000,0.200000,1.540000,649.350649,"0143.png"
0.160000,1.250000,0.250000,1.600000,625.000000,"0144.png"
0.160000,1.500000,0.050000,1.230000,813.008130,"0145.png"
0.160000,1.500000,0.100000,1.370000,729.927007,"0146.png"
0.160000,1.500000,0.150000,1.330000,751.879699,"0147.png"
0.160000,1.500000,0.200000,1.440000,694.444444,"0148.png"
0.160000,1.500000,0.250000,1.510000,662.251656,"0149.png"
0.160000,1.750000,0.050000,1.270000,787.401575,"0150.png"
