StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.160000,1.500000,0.100000,3.350000,298.507463,"0146.png"
0.160000,1.500000,0.150000,3.580000,279.329609,"0147.png"
0.160000,1.500000,0.200000,3.790000,263.852243,"0148.png"
0.160000,1.500000,0.250000,3.970000,251.889169,"0149.png"
0.160000,1.750000,0.050000,3.010000,332.225914,"0150.png"
0.160000,1.750000,0.100000,3.100000,322.580645,"0151.png"
0.160000,1.750000,0.150000,3.330000,300.300300,"0152.png"
0.160000,1.750000,0.200000,3.530000,283.286119,"0153.png"
0.160000,1.750000,0.250000,3.760000,265.957447,"0154.png"
0.160000,2.000000,0.050000,2.840000,352.112676,"0155.png"
0.160000,2.000000,0.100000,3.020000,331.125828,"0156.png"
0.160000,2.000000,0.150000,3.150000,317.460317,"0157.png"
0.160000,2.000000,0.200000,3.400000,294.117647,"0158.png"
0.160000,2.000000,0.250000,3.600000,277.777778,"0159.png"
0.210000,0.250000,0.050000,10.680000,93.632959,"0160.png"
0.210000,0.250000,0.100000,10.700000,93.457944,"0161.png"
0.210000,0.250000,0.150000,10.740000,93.109870,"0162.png"
0.210000,0.250000,0.200000,10.740000,93.109870,"0163.png"
0.210000,0.250000,0.250000,10.780000,92.764378,"0164.png"
0.210000,0.500000,0.050000,6.160000,162.337662,"0165.png"
0.210000,0.500000,0.100000,6.200000,161.290323,"0166.png"
0.210000,0.500000,0.150000,6.360000,157.232704,"0167.png"
0.210000,0.500000,0.200000,6.560000,152.439024,"0168.png"
0.210000,0.500000,0.250000,6.740000,148.367953,"0169.png"
0.210000,0.750000,0.050000,4.870000,205.338809,"0170.png"
0.210000,0.750000,0.100000,4.970000,201.207243,"0171.png"
0.210000,0.750000,0.150000,5.100000,196.078431,"0172.png"
0.210000,0.750000,0.200000,5.260000,190.114068,"0173.png"
0.210000,0.750000,0.250000,5.400000,185.185185,"0174.png"
0.210000,1.000000,0.050000,4.030000,248.138958,"0175.png"
0.210000,1.000000,0.100000,4.140000,241.545894,"0176.png"
0.210000,1.000000,0.150000,4.320000,231.481481,"0177.png"
0.210000,1.000000,0.200000,4.480000,223.214286,"0178.png"
0.210000,1.000000,0.250000,4.600000,217.391304,"0179.png"
0.210000,1.250000,0.050000,3.560000,280.898876,"0180.png"
0.210000,1.250000,0.100000,3.700000,270.270270,"0181.png"
0.210000,1.250000,0.150000,3.790000,263.852243,"0182.png"
0.210000,1.250000,0.200000,3.960000,252.525253,"0183.png"
0.210000,1.250000,0.250000,4.140000,241.545894,"0184.png"
0.210000,1.500000,0.050000,3.200000,312.500000,"0185.png"
0.210000,1.500000,0.100000,3.260000,306.748466,"0186.png"
0.210000,1.500000,0.150000,3.490000,286.532951,"0187.png"
0.210000,1.500000,0.200000,3.610000,277.008310,"0188.png"
0.210000,1.500000,0.250000,3.790000,263.852243,"0189.png"
0.210000,1.750000,0.050000,3.000000,333.333333,"0190.png"
0.210000,1.750000,0.100000,3.060000,326.797386,"0191.png"
0.210000,1.750000,0.150000,3.140000,318.471338,"0192.png"
0.210000,1.750000,0.200000,3.370000,296.735905,"0193.png"
0.210000,1.750000,0.250000,3.540000,282.485876,"0194.png"
0.210000,2.000000,0.050000,2.840000,352.112676,"0195.png"
0.210000,2.000000,0.100000,2.990000,334.448161,"0196.png"
0.210000,2.000000,0.150000,3.050000,327.868852,"0197.png"
0.210000,2.000000,0.200000,3.170000,315.457413,"0198.png"
0.210000,2.000000,0.250000,3.370000,296.735905,"0199.png"
